1232 400 400
259 290 -1 0
258 290 -1 0
262 289 -1 0
261 289 -1 0
260 289 -1 0
259 289 -1 0
258 289 -1 0
257 289 -1 0
256 289 -1 0
255 289 -1 0
263 288 -1 0
262 288 -1 0
261 288 -1 0
260 288 -1 0
259 288 -1 0
258 288 -1 0
257 288 -1 0
256 288 -1 0
255 288 -1 0
254 288 -1 0
263 287 -1 0
262 287 -1 0
261 287 -1 0
260 287 -1 0
259 287 -1 0
258 287 -1 0
257 287 -1 0
256 287 -1 0
255 287 -1 0
254 287 -1 0
263 286 -1 0
262 286 -1 0
261 286 -1 0
260 286 -1 0
259 286 -1 0
258 286 -1 0
257 286 -1 0
256 286 -1 0
255 286 -1 0
254 286 -1 0
264 285 -1 0
263 285 -1 0
262 285 -1 0
261 285 -1 0
260 285 -1 0
259 285 -1 0
258 285 -1 0
257 285 -1 0
256 285 -1 0
255 285 -1 0
254 285 -1 0
253 285 -1 0
263 284 -1 0
262 284 -1 0
261 284 -1 0
260 284 -1 0
259 284 -1 0
258 284 -1 0
257 284 -1 0
256 284 -1 0
255 284 -1 0
254 284 -1 0
253 284 -1 0
263 283 -1 0
262 283 -1 0
261 283 -1 0
260 283 -1 0
259 283 -1 0
258 283 -1 0
257 283 -1 0
256 283 -1 0
255 283 -1 0
254 283 -1 0
253 283 -1 0
263 282 -1 0
262 282 -1 0
261 282 -1 0
260 282 -1 0
259 282 -1 0
258 282 -1 0
257 282 -1 0
256 282 -1 0
255 282 -1 0
254 282 -1 0
253 282 -1 0
263 281 -1 0
262 281 -1 0
261 281 -1 0
260 281 -1 0
259 281 -1 0
258 281 -1 0
257 281 -1 0
256 281 -1 0
255 281 -1 0
254 281 -1 0
253 281 -1 0
263 280 -1 0
262 280 -1 0
261 280 -1 0
260 280 -1 0
259 280 -1 0
258 280 -1 0
257 280 -1 0
256 280 -1 0
255 280 -1 0
254 280 -1 0
253 280 -1 0
263 279 -1 0
262 279 -1 0
261 279 -1 0
260 279 -1 0
259 279 -1 0
258 279 -1 0
257 279 -1 0
256 279 -1 0
255 279 -1 0
254 279 -1 0
253 279 -1 0
263 278 -1 0
262 278 -1 0
261 278 -1 0
260 278 -1 0
259 278 -1 0
258 278 -1 0
257 278 -1 0
256 278 -1 0
255 278 -1 0
254 278 -1 0
253 278 -1 0
263 277 -1 0
262 277 -1 0
261 277 -1 0
260 277 -1 0
259 277 -1 0
258 277 -1 0
257 277 -1 0
256 277 -1 0
255 277 -1 0
254 277 -1 0
253 277 -1 0
263 276 -1 0
262 276 -1 0
261 276 -1 0
260 276 -1 0
259 276 -1 0
258 276 -1 0
257 276 -1 0
256 276 -1 0
255 276 -1 0
254 276 -1 0
253 276 -1 0
263 275 -1 0
262 275 -1 0
261 275 -1 0
260 275 -1 0
259 275 -1 0
258 275 -1 0
257 275 -1 0
256 275 -1 0
255 275 -1 0
254 275 -1 0
253 275 -1 0
263 274 -1 0
262 274 -1 0
261 274 -1 0
260 274 -1 0
259 274 -1 0
258 274 -1 0
257 274 -1 0
256 274 -1 0
255 274 -1 0
254 274 -1 0
253 274 -1 0
263 273 -1 0
262 273 -1 0
261 273 -1 0
260 273 -1 0
259 273 -1 0
258 273 -1 0
257 273 -1 0
256 273 -1 0
255 273 -1 0
254 273 -1 0
253 273 -1 0
262 272 -1 0
261 272 -1 0
260 272 -1 0
259 272 -1 0
258 272 -1 0
257 272 -1 0
256 272 -1 0
255 272 -1 0
254 272 -1 0
253 272 -1 0
263 271 -1 0
262 271 -1 0
261 271 -1 0
260 271 -1 0
259 271 -1 0
258 271 -1 0
257 271 -1 0
256 271 -1 0
255 271 -1 0
254 271 -1 0
253 271 -1 0
252 271 -1 0
262 270 -1 0
261 270 -1 0
260 270 -1 0
259 270 -1 0
258 270 -1 0
257 270 -1 0
256 270 -1 0
255 270 -1 0
254 270 -1 0
253 270 -1 0
252 270 -1 0
251 270 -1 0
262 269 -1 0
261 269 -1 0
260 269 -1 0
259 269 -1 0
258 269 -1 0
257 269 -1 0
256 269 -1 0
255 269 -1 0
254 269 -1 0
253 269 -1 0
252 269 -1 0
251 269 -1 0
262 268 -1 0
261 268 -1 0
260 268 -1 0
259 268 -1 0
258 268 -1 0
257 268 -1 0
256 268 -1 0
255 268 -1 0
254 268 -1 0
253 268 -1 0
252 268 -1 0
251 268 -1 0
261 267 -1 0
260 267 -1 0
259 267 -1 0
258 267 -1 0
257 267 -1 0
256 267 -1 0
255 267 -1 0
254 267 -1 0
253 267 -1 0
252 267 -1 0
251 267 -1 0
250 267 -1 0
261 266 -1 0
260 266 -1 0
259 266 -1 0
258 266 -1 0
257 266 -1 0
256 266 -1 0
255 266 -1 0
254 266 -1 0
253 266 -1 0
252 266 -1 0
251 266 -1 0
261 265 -1 0
260 265 -1 0
259 265 -1 0
258 265 -1 0
257 265 -1 0
256 265 -1 0
255 265 -1 0
254 265 -1 0
253 265 -1 0
252 265 -1 0
251 265 -1 0
260 264 -1 0
259 264 -1 0
258 264 -1 0
257 264 -1 0
256 264 -1 0
255 264 -1 0
254 264 -1 0
253 264 -1 0
252 264 -1 0
251 264 -1 0
259 263 -1 0
258 263 -1 0
257 263 -1 0
256 263 -1 0
255 263 -1 0
254 263 -1 0
253 263 -1 0
252 263 -1 0
256 262 -1 0
255 262 -1 0
35 241 -1 0
38 240 -1 0
37 240 -1 0
36 240 -1 0
35 240 -1 0
34 240 -1 0
33 240 -1 0
32 240 -1 0
39 239 -1 0
38 239 -1 0
37 239 -1 0
36 239 -1 0
35 239 -1 0
34 239 -1 0
33 239 -1 0
32 239 -1 0
31 239 -1 0
39 238 -1 0
38 238 -1 0
37 238 -1 0
36 238 -1 0
35 238 -1 0
34 238 -1 0
33 238 -1 0
32 238 -1 0
31 238 -1 0
30 238 -1 0
39 237 -1 0
38 237 -1 0
37 237 -1 0
36 237 -1 0
35 237 -1 0
34 237 -1 0
33 237 -1 0
32 237 -1 0
31 237 -1 0
30 237 -1 0
29 237 -1 0
40 236 -1 0
39 236 -1 0
38 236 -1 0
37 236 -1 0
36 236 -1 0
35 236 -1 0
34 236 -1 0
33 236 -1 0
32 236 -1 0
31 236 -1 0
30 236 -1 0
29 236 -1 0
40 235 -1 0
39 235 -1 0
38 235 -1 0
37 235 -1 0
36 235 -1 0
35 235 -1 0
34 235 -1 0
33 235 -1 0
32 235 -1 0
31 235 -1 0
30 235 -1 0
29 235 -1 0
39 234 -1 0
38 234 -1 0
37 234 -1 0
36 234 -1 0
35 234 -1 0
34 234 -1 0
33 234 -1 0
32 234 -1 0
31 234 -1 0
30 234 -1 0
29 234 -1 0
28 234 -1 0
39 233 -1 0
38 233 -1 0
37 233 -1 0
36 233 -1 0
35 233 -1 0
34 233 -1 0
33 233 -1 0
32 233 -1 0
31 233 -1 0
30 233 -1 0
29 233 -1 0
28 233 -1 0
39 232 -1 0
38 232 -1 0
37 232 -1 0
36 232 -1 0
35 232 -1 0
34 232 -1 0
33 232 -1 0
32 232 -1 0
31 232 -1 0
30 232 -1 0
29 232 -1 0
28 232 -1 0
27 232 -1 0
38 231 -1 0
37 231 -1 0
36 231 -1 0
35 231 -1 0
34 231 -1 0
33 231 -1 0
32 231 -1 0
31 231 -1 0
30 231 -1 0
29 231 -1 0
28 231 -1 0
27 231 -1 0
37 230 -1 0
36 230 -1 0
35 230 -1 0
34 230 -1 0
33 230 -1 0
32 230 -1 0
31 230 -1 0
